Var_1,Var_2,Var_3,Var_4,Var_5_Class_1,Var_5_Class_2,Var_5_Class_3,Var_5_Class_4,Var_5_Class_5,Var_5_Class_6,Var_5_Class_7,Var_5_Class_8,Var_6_Class_1,Var_6_Class_2,Var_6_Class_3,Var_6_Class_4,Var_6_Class_5,Var_6_Class_6,Var_6_Class_7,Var_6_Class_8,Var_6_Class_9,Var_6_Class_10,Var_6_Class_11,Var_6_Class_12,Var_7,Var_8,Var_9,Var_10,Var_11,Var_12,Var_13,Input_Data_Set_2
5,0.933060109,63,11.56693989,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
8,2.12431694,18,10.37568306,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,19.29529038,39.4592737,2,0
18,1.618852459,53,10.88114754,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
11,1.005464481,12,11.49453552,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
12,1.008196721,11,10.27459016,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,19.29529038,39.4592737,2,1
10,2.363387978,20,10.13661202,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
6,1.107923497,38,10.03278689,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,-1,-1,19.29529038,39.4592737,2,1
15,1.318306011,8,11.18169399,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
28,1.532786885,6,10.96721311,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,5,1,-1,19.29529038,39.4592737,2,1
14,1.034153005,16,11.46584699,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,7,1,-1,19.29529038,39.4592737,2,1
14,2.301912568,31,10.19808743,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
20,1.105191257,20,11.39480874,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
17,3.005464481,28,9.494535519,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,19.29529038,39.4592737,2,1
21,1.707650273,13,10.79234973,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3,1,-1,19.29529038,39.4592737,2,1
20,1.741803279,47,10.75819672,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,19.29529038,39.4592737,2,1
14,1.255464481,39,11.24453552,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,3,-1,-1,19.29529038,39.4592737,2,1
14,1.356557377,40,11.14344262,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-93.11510538,-77.93113407,2,1
5,1.510928962,4,10.98907104,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
19,1.393442623,12,11.10655738,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
13,2.066939891,28,10.43306011,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
7,1.493169399,68,11.0068306,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,2,-1,-1,-93.11510538,-77.93113407,2,1
24,2.31420765,31,10.18579235,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,0
34,1.18852459,20,11.31147541,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,5,-1,-1,-93.11510538,-77.93113407,2,1
29,1.855191257,49,10.64480874,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,3,1,-1,-93.11510538,-77.93113407,2,1
16,1.202185792,30,11.29781421,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
7,2.199453552,46,10.30054645,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,1,-1,-93.11510538,-77.93113407,2,1
26,3.230874317,32,9.269125683,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
14,2.050546448,9,10.44945355,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
23,1.239071038,11,11.26092896,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2,-1,-1,-93.11510538,-77.93113407,2,0
27,2.12568306,39,10.37431694,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-93.11510538,-77.93113407,2,0
26,1.228142077,22,11.27185792,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
40,1.457650273,15,11.04234973,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,0
7,4.274590164,16,8.225409836,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,4,1,-1,-93.11510538,-77.93113407,2,0
12,1.702185792,4,10.79781421,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,-1,-93.11510538,-77.93113407,2,1
7,1.868852459,14,10.63114754,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,2,-1,-1,-93.11510538,-77.93113407,2,0
14,3.180327869,2,9.319672131,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,3,-1,-1,-93.11510538,-77.93113407,2,1
6,1.390710383,16,11.10928962,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-93.11510538,-77.93113407,2,1
