Var_1,Var_2,Var_3,Var_4,Var_5_Class_1,Var_5_Class_2,Var_5_Class_3,Var_5_Class_4,Var_5_Class_5,Var_5_Class_6,Var_5_Class_7,Var_5_Class_8,Var_6_Class_1,Var_6_Class_2,Var_6_Class_3,Var_6_Class_4,Var_6_Class_5,Var_6_Class_6,Var_6_Class_7,Var_6_Class_8,Var_6_Class_9,Var_6_Class_10,Var_6_Class_11,Var_6_Class_12,Var_7,Var_8,Var_9,Var_10,Var_11,Var_12,Var_13,Input_Data_Set_3
7,4.274590164,16,12.22540984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,8.647921698,-1.549623704,2,0.0
18,1.733606557,5,14.76639344,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-93.11510538,-77.93113407,7,0.0
24,2.696721311,5,13.80327869,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8.647921698,-1.549623704,3,0.0
20,1.150273224,5,15.34972678,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36.62225449,-5.211877926,8,0.0
14,1.454918033,57,15.04508197,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,23.48302981,-6.854817778,9,0.0
25,1.105191257,17,15.39480874,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8.647921698,-1.549623704,2,0.0
2,2.882513661,33,13.61748634,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.647921698,-1.549623704,3,0.0
15,2.733606557,32,13.76639344,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19.29529038,39.4592737,6,0.0
11,1.005464481,12,15.49453552,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39.7371573,28.38628474,2,0.0
14,2.053278689,1,14.44672131,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19.29529038,39.4592737,5,0.0
7,1.780054645,11,14.71994536,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-93.11510538,-77.93113407,7,0.0
20,1.390710383,3,15.10928962,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-93.11510538,-77.93113407,6,0.0
20,2.830601093,11,13.49405644,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,36.62225449,-5.211877926,7,0.0
15,2.467213115,6,13.96155401,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-93.11510538,-77.93113407,6,0.0
